names	Grian	SmallishBeans	Dangthatsalongname	BigB - Minecraft	EthosLab	BdoubleO100	PearlescentMoon	InTheLittleWood ak...	GoodTimesWithScar	impulseSV	Tango Tek	ZombieCleo	Solidarity	MCSkizzleman
Bar colors	#8a0a01	#3866f9	#48bfea	#c0efff	#87CEEB	#35168b	#fff5c3	#72ca30	#306166	#f2ca37	#fc1900	#abadaa	#373797	#0020ff
Bar images	x	x	x	x	x	x	x	x	x	x	x	x	x	x
29-May-12	0	219479			194457	57489	0	12584	2922			5381		
30-May-12	0	219433			195328	57825	0	12608	2935			5382		
31-May-12	0	219378			196487	58188	0	12705	2968			5394		
1-Jun-12	0	219460			197559	58512	0	12729	2988			5408		
2-Jun-12	0	219595			198686	58886	0	12945	3030			5417		
3-Jun-12	0	219687			199928	59408	0	13013	3053			5432		
4-Jun-12	0	219659			200948	59859	0	13046	3081			5439		
5-Jun-12	0	219640			202303	60366	0	13099	3103			5449		
6-Jun-12	0	219602			203608	60894	0	13137	3126			5452		
7-Jun-12	0	219463			204941	61341	0	13152	3168			5475		
8-Jun-12	0	219486			206501	61744	0	13197	3174			5492		
9-Jun-12	0	219444			207649	62173	0	13224	3198			5505		
10-Jun-12	0	219467			208877	62718	0	13263	3233			5552		
11-Jun-12	0	219496			209913	63161	0	13327	3268			5590		
12-Jun-12	0	219525			211058	63545	0	13357	3291			5602		
13-Jun-12	0	219531			212115	63990	0	13395	3335			5632		
14-Jun-12	0	219571			213154	64413	0	13538	3368			5642		
15-Jun-12	0	219543			214236	64905	0	13681	3372			5652		
16-Jun-12	0	219558			215635	65470	0	13716	3405			5674		
17-Jun-12	0	219563			216845	66150	0	13759	3442			5702		
18-Jun-12	0	219561			218013	66544	0	13877	3490			5719		
19-Jun-12	0	219553			219058	67350	0	13938	3537			5754		
20-Jun-12	0	219545			220087	67848	0	13992	3543			5759		
21-Jun-12	0	219527			221077	68307	0	14040	3573			5774		
22-Jun-12	0	219529			222168	68823	0	14068	3602			5778		
23-Jun-12	0	219524			223382	69069	0	14098	3639			5797		
24-Jun-12	0	219530			224569	69971	0	14157	3685			5804		
25-Jun-12	0	219513			225660	70600	0	14187	3703			5825		
26-Jun-12	0	219501			226773	71390	0	14190	3743			5851		
27-Jun-12	0	219496			227801	72239	0	14231	3778			5872		
28-Jun-12	0	219494			228960	72885	0	14256	3807			5884		
29-Jun-12	0	219495			229917	73488	0	14285	3834			5897		
30-Jun-12	0	219466			230812	74061	0	14325	3858			5917		
1-Jul-12	0	219498			231910	74722	0	14341	3888			5923		
2-Jul-12	0	219512			233046	75394	0	14394	3915			5944		
3-Jul-12	0	219510			234162	76218	0	14680	3964			5966		
4-Jul-12	0	219508			235189	76801	0	14711	4005			5991		
5-Jul-12	0	219507			236218	77381	0	14817	4034			5994		
6-Jul-12	0	219510			237225	77848	0	14828	4065			6003		
7-Jul-12	0	219518.5			238248	78283	0	14888	4091			6017		
8-Jul-12	0	219527			239272	78772	0	14925	4115			6031		
9-Jul-12	0	219547			240246	79269	0	14999	4145			6034		
10-Jul-12	0	219501			241261	79843	0	15033	4176			6041		
11-Jul-12	0	219511			242345	80454	0	15075	4198			6052		
12-Jul-12	0	219514			243303	80931	0	15105	4217			6061		
13-Jul-12	0	219521			244151	81396	0	15143	4246			6074		
14-Jul-12	0	219511			245403	81912	0	15178	4275			6125		
15-Jul-12	0	219519			246764	82387	0	15554	4297			6142		
16-Jul-12	0	219484			247925	82880	0	15927	4320			6143		
17-Jul-12	0	219465			248993	83334	0	16018	4344			6158		
18-Jul-12	0	219456			250032	83860	0	16126	4373			6159		
19-Jul-12	0	219432			251192	84294	0	16158	4421			6176		
20-Jul-12	0	219454			252224	84773	0	16220	4436			6193		
21-Jul-12	0	219669			253127	85406	0	16667	4481			6200		
22-Jul-12	0	219772			254016	85903	0	16883	4504			6206		
23-Jul-12	0	219836			254938	86416	0	17046	4564			6218		
24-Jul-12	0	219865			255908	86875	0	17209	4574			6219		
25-Jul-12	0	219875			256951	87352	0	17389	4597			6243		
26-Jul-12	0	219883			258033	88030	0	17445	4624			6255		
27-Jul-12	0	219869			259024	88412	0	17566	4651			6261		
28-Jul-12	0	219856			260116	88804	0	17595	4673			6264		
29-Jul-12	0	219847			261416	89188	0	17725	4695			6273		
30-Jul-12	0	219841			262745	89828	0	17825	4716			6280		
31-Jul-12	0	219839			264071	90261	0	17912	4747			6297		
1-Aug-12	0	219830			265747	90691	0	17978	4786			6327		
2-Aug-12	0	219922			267515	91218	0	18029	4819			6339		
3-Aug-12	0	219928			269158	91850	0	18219	4859			6360		
4-Aug-12	0	219924			270437	92326	0	18298	4883			6364		
5-Aug-12	0	219926			271886	92856	0	18470	4908			6367		
6-Aug-12	0	219928			273524	93471	0	18562	4945			6380		
7-Aug-12	0	219963			275130	93999	0	18789	4990			6396		
8-Aug-12	0	219969			276861	94550	0	18810	5041			6399		
9-Aug-12	0	219973			278379	95131	0	19017	5074			6408		
10-Aug-12	0	219964			279501	95655	0	19031	5116			6409		
11-Aug-12	0	219943			280651	96174	0	19308	5150			6425		
12-Aug-12	0	219929			281875	96906	0	19442	5173			6428		
13-Aug-12	0	219952			283177	97742	0	20001	5198			6433		
14-Aug-12	0	219981			285181	98422	0	20266	5225			6454		
15-Aug-12	0	219998			287079	99009	0	20415	5257			6460		
16-Aug-12	0	219981			288785	99619	0	20642	5293			6461		
17-Aug-12	0	219952			290279	100181	0	20992	5321			6486		
18-Aug-12	0	219977			292150	100793	0	21203	5343			6497		
19-Aug-12	0	219978			294247	101365	0	21381	5373			6499		
20-Aug-12	0	219969			296267	102058	0	21397	5405			6508		
21-Aug-12	0	219982			298275	102842	0	21721	5432			6521		
22-Aug-12	0	219978			299972	103606	0	22151	5465			6520		
23-Aug-12	0	219951			301329	104184	0	22184	5494			6536		
24-Aug-12	0	219927			302749	104682	0	22458	5523			6543		
25-Aug-12	0	219920			304483	105265	0	22578	5549			6541		
26-Aug-12	0	219961			306202	105902	0	22651	5578			6543		
27-Aug-12	0	219953			307804	106435	0	22737	5611			6552		
28-Aug-12	0	219934			309592	106912	0	22971	5623			6577		
29-Aug-12	0	219954			311167	107386	0	23016	5643			6580		
30-Aug-12	0	219952			312883	107955	0	23257	5652			6599		
31-Aug-12	0	219956			314224	108472	0	23394	5684			6613		
1-Sep-12	0	219918			315951	108999	0	23577	5706			6634		
2-Sep-12	0	219893			317523	109503	0	23619	5733			6641		
3-Sep-12	0	219903			319418	110188	0	23852	5767			6644		
4-Sep-12	0	219894			320658	110763	0	24102	5799			6647		
5-Sep-12	0	219949			321807	111199	0	24291	5819			6658		
6-Sep-12	0	219994			323021	111673	0	24382	5846			6669		
7-Sep-12	0	219988			324396	112087	0	24467	5855			6675		
8-Sep-12	0	220015			326281	112718	0	24587	5869			6683		
9-Sep-12	0	220006			328453	113484	0	24712	5905			6686		
10-Sep-12	0	220002			329933	114062	0	24849	5919			6684		
11-Sep-12	0	219974			331511	114564	0	24944	5930			6692		
12-Sep-12	0	219961			333155	115225	0	25044	5954			6697		
13-Sep-12	0	219936			334449	115738	0	25203	5957			6722		
14-Sep-12	0	219916			335654	116255	0	25215	5971			6723		
15-Sep-12	0	219908			337644	116877	0	25296	5992			6748		
16-Sep-12	0	219901			339799	117580	0	25522	6047			6750		
17-Sep-12	0	219896			341318	118033	0	25532	6054			6765		
18-Sep-12	0	219870			342509	118488	0	25667	6075			6768		
19-Sep-12	0	219204			343167	118806	0	25773	6093			6772		
20-Sep-12	0	219168			344626	119413	0	25817	6111			6770		
21-Sep-12	0	219158			346060	119844	0	25889	6122			6781		
