Date	Subscribers	Views	Subscriber 2	Views 2	Subscibers 3	Views 3	Subscribers 4	Views 4
"May 04, 2014"	381	25143			65.12395633	25597.97751	0.868761553	60.61182994
"May 05, 2014"	389	25745			65.16184971	25627.75398	0.873382625	60.84380776
"May 06, 2014"	391	26053			65.1997431	25657.53046	0.878003697	61.07578558
"May 07, 2014"	395	26299			65.23763648	25687.30694	0.882624769	61.3077634
"May 08, 2014"	397	26454			65.27552987	25717.08341	0.887245841	61.53974122
"May 09, 2014"	400	26696			65.31342325	25746.85989	0.891866913	61.77171904
"May 10, 2014"	400.5	26794.5			65.35131663	25776.63636	0.896487985	62.00369686
"May 11, 2014"	401	26893			65.38921002	25806.41284	0.901109057	62.23567468
"May 12, 2014"	419	27543			65.4271034	25836.18932	0.905730129	62.4676525
"May 13, 2014"	425	27786.5			65.46499679	25865.96579	0.910351201	62.69963031
"May 14, 2014"	431	28030			65.50289017	25895.74227	0.914972274	62.93160813
"May 15, 2014"	437	28548			65.54078356	25925.51874	0.919593346	63.16358595
"May 16, 2014"	441	28928			65.57867694	25955.29522	0.924214418	63.39556377
"May 17, 2014"	443	29185.5			65.61657033	25985.0717	0.92883549	63.62754159
"May 18, 2014"	445	29443			65.65446371	26014.84817	0.933456562	63.85951941
"May 19, 2014"	450	30324			65.6923571	26044.62465	0.938077634	64.09149723
"May 20, 2014"	457	30792			65.73025048	26074.40112	0.942698706	64.32347505
"May 21, 2014"	461	31048			65.76814387	26104.1776	0.947319778	64.55545287
"May 22, 2014"	462	31350			65.80603725	26133.95408	0.95194085	64.78743068
"May 23, 2014"	465	31596			65.84393064	26163.73055	0.956561922	65.0194085
"May 24, 2014"	468	31704			65.88182402	26193.50703	0.961182994	65.25138632
"May 25, 2014"	471	31812			65.91971741	26223.28351	0.965804067	65.48336414
"May 26, 2014"	473	32223			65.95761079	26253.05998	0.970425139	65.71534196
"May 27, 2014"	478	32838			65.99550417	26282.83646	0.975046211	65.94731978
"May 28, 2014"	486	33315			66.03339756	26312.61293	0.979667283	66.1792976
"May 29, 2014"	493	34421			66.07129094	26342.38941	0.984288355	66.41127542
"May 30, 2014"	498	34897			66.10918433	26372.16589	0.988909427	66.64325323
"May 31, 2014"	513	35357			66.14707771	26401.94236	0.993530499	66.87523105
"Jun 01, 2014"	518	36065.5			66.1849711	26431.71884	0.998151571	67.10720887
"Jun 02, 2014"	533	36774			66.22286448	26461.49531	1.002772643	67.33918669
"Jun 03, 2014"	545	37544			66.26075787	26491.27179	1.007393715	67.57116451
"Jun 04, 2014"	566	38070			66.29865125	26521.04827	1.012014787	67.80314233
"Jun 05, 2014"	574	38508			66.33654464	26550.82474	1.01663586	68.03512015
"Jun 06, 2014"	587	38901			66.37443802	26580.60122	1.021256932	68.26709797
"Jun 07, 2014"	602	40043			66.41233141	26610.37769	1.025878004	68.49907579
"Jun 08, 2014"	615	41286			66.45022479	26640.15417	1.030499076	68.7310536
"Jun 09, 2014"	628	42529			66.48811818	26669.93065	1.035120148	68.96303142
"Jun 10, 2014"	645	43611			66.52601156	26699.70712	1.03974122	69.19500924
"Jun 11, 2014"	657	44609			66.56390495	26729.4836	1.044362292	69.42698706
"Jun 12, 2014"	665.5	45588			66.60179833	26759.26007	1.048983364	69.65896488
"Jun 13, 2014"	674	46567			66.63969171	26789.03655	1.053604436	69.8909427
"Jun 14, 2014"	684	47760			66.6775851	26818.81303	1.058225508	70.12292052
"Jun 15, 2014"	696	48611			66.71547848	26848.5895	1.06284658	70.35489834
"Jun 16, 2014"	708	49574			66.75337187	26878.36598	1.067467652	70.58687616
"Jun 17, 2014"	717	50604			66.79126525	26908.14246	1.072088725	70.81885397
"Jun 18, 2014"	741	51504			66.82915864	26937.91893	1.076709797	71.05083179
"Jun 19, 2014"	750	52604			66.86705202	26967.69541	1.081330869	71.28280961
"Jun 20, 2014"	772	54806			66.90494541	26997.47188	1.085951941	71.51478743
"Jun 21, 2014"	797	56541			66.94283879	27027.24836	1.090573013	71.74676525
"Jun 22, 2014"	816	58094			66.98073218	27057.02484	1.095194085	71.97874307
"Jun 23, 2014"	838	59997			67.01862556	27086.80131	1.099815157	72.21072089
"Jun 24, 2014"	857	61558			67.05651895	27116.57779	1.104436229	72.44269871
"Jun 25, 2014"	886	63154			67.09441233	27146.35426	1.109057301	72.67467652
"Jun 26, 2014"	918	65071			67.13230572	27176.13074	1.113678373	72.90665434
"Jun 27, 2014"	934	66909			67.1701991	27205.90722	1.118299445	73.13863216
"Jun 28, 2014"	957	69589			67.20809249	27235.68369	1.122920518	73.37060998
"Jun 29, 2014"	982	71675			67.24598587	27265.46017	1.12754159	73.6025878
"Jun 30, 2014"	1005	73426			67.28387925	27295.23664	1.132162662	73.83456562
"Jul 01, 2014"	1037	75186			67.32177264	27325.01312	1.136783734	74.06654344
"Jul 02, 2014"	1057	77309			67.35966602	27354.7896	1.141404806	74.29852126
"Jul 03, 2014"	1077	79266			67.39755941	27384.56607	1.146025878	74.53049908
"Jul 04, 2014"	1093	80713			67.43545279	27414.34255	1.15064695	74.76247689
"Jul 05, 2014"	1111	83206			67.47334618	27444.11903	1.155268022	74.99445471
"Jul 06, 2014"	1129	85445			67.51123956	27473.8955	1.159889094	75.22643253
"Jul 07, 2014"	1153	87684			67.54913295	27503.67198	1.164510166	75.45841035
"Jul 08, 2014"	1180	90345			67.58702633	27533.44845	1.169131238	75.69038817
"Jul 09, 2014"	1215	93159			67.62491972	27563.22493	1.173752311	75.92236599
"Jul 10, 2014"	1235	96655			67.6628131	27593.00141	1.178373383	76.15434381
"Jul 11, 2014"	1264	98166			67.70070649	27622.77788	1.182994455	76.38632163
"Jul 12, 2014"	1293	99677			67.73859987	27652.55436	1.187615527	76.61829945
"Jul 13, 2014"	1318	105420			67.77649326	27682.33083	1.192236599	76.85027726
"Jul 14, 2014"	1348	108579			67.81438664	27712.10731	1.196857671	77.08225508
"Jul 15, 2014"	1365	112082.5			67.85228003	27741.88379	1.201478743	77.3142329
"Jul 16, 2014"	1391	115586			67.89017341	27771.66026	1.206099815	77.54621072
"Jul 17, 2014"	1410	118225			67.9280668	27801.43674	1.210720887	77.77818854
"Jul 18, 2014"	1435	121423			67.96596018	27831.21321	1.215341959	78.01016636
"Jul 19, 2014"	1458	124689			68.00385356	27860.98969	1.219963031	78.24214418
"Jul 20, 2014"	1481	127567.5			68.04174695	27890.76617	1.224584104	78.474122
"Jul 21, 2014"	1509	130446			68.07964033	27920.54264	1.229205176	78.70609982
"Jul 22, 2014"	1535	133817			68.11753372	27950.31912	1.233826248	78.93807763
"Jul 23, 2014"	1557	136423			68.1554271	27980.0956	1.23844732	79.17005545
"Jul 24, 2014"	1586	139125			68.19332049	28009.87207	1.243068392	79.40203327
"Jul 25, 2014"	1607	142335			68.23121387	28039.64855	1.247689464	79.63401109
"Jul 26, 2014"	1627	145500			68.26910726	28069.42502	1.252310536	79.86598891
"Jul 27, 2014"	1654	148565.5			68.30700064	28099.2015	1.256931608	80.09796673
"Jul 28, 2014"	1681	151631			68.34489403	28128.97798	1.26155268	80.32994455
"Jul 29, 2014"	1719	155022			68.38278741	28158.75445	1.266173752	80.56192237
"Jul 30, 2014"	1746	159172			68.4206808	28188.53093	1.270794824	80.79390018
"Jul 31, 2014"	1776	162837			68.45857418	28218.3074	1.275415896	81.025878
"Aug 01, 2014"	1809	166038			68.49646757	28248.08388	1.280036969	81.25785582
"Aug 02, 2014"	1833	169126			68.53436095	28277.86036	1.284658041	81.48983364
"Aug 03, 2014"	1863	172562.5			68.57225434	28307.63683	1.289279113	81.72181146
"Aug 04, 2014"	1900	175999			68.61014772	28337.41331	1.293900185	81.95378928
"Aug 05, 2014"	1926	179527			68.6480411	28367.18978	1.298521257	82.1857671
"Aug 06, 2014"	1958	184769			68.68593449	28396.96626	1.303142329	82.41774492
"Aug 07, 2014"	2004	191214			68.72382787	28426.74274	1.307763401	82.64972274
"Aug 08, 2014"	2032	194801			68.76172126	28456.51921	1.312384473	82.88170055
"Aug 09, 2014"	2064	198742			68.79961464	28486.29569	1.317005545	83.11367837
"Aug 10, 2014"	2101	202737			68.83750803	28516.07216	1.321626617	83.34565619
"Aug 11, 2014"	2135	206732			68.87540141	28545.84864	1.326247689	83.57763401
"Aug 12, 2014"	2182	210992			68.9132948	28575.62512	1.330868762	83.80961183
"Aug 13, 2014"	2222	215419			68.95118818	28605.40159	1.335489834	84.04158965
"Aug 14, 2014"	2252	219573.5			68.98908157	28635.17807	1.340110906	84.27356747
"Aug 15, 2014"	2273	223728			69.02697495	28664.95455	1.344731978	84.50554529
"Aug 16, 2014"	2302	228100			69.06486834	28694.73102	1.34935305	84.73752311
"Aug 17, 2014"	2345	230324.5			69.10276172	28724.5075	1.353974122	84.96950092
"Aug 18, 2014"	2405	232549			69.14065511	28754.28397	1.358595194	85.20147874
"Aug 19, 2014"	2440	238971			69.17854849	28784.06045	1.363216266	85.43345656
"Aug 20, 2014"	2479	251493			69.21644188	28813.83693	1.367837338	85.66543438
"Aug 21, 2014"	2518	255978			69.25433526	28843.6134	1.37245841	85.8974122
"Aug 22, 2014"	2560	260463			69.29222864	28873.38988	1.377079482	86.12939002
"Aug 23, 2014"	2593	262542			69.33012203	28903.16635	1.381700555	86.36136784
"Aug 24, 2014"	2623	264621			69.36801541	28932.94283	1.386321627	86.59334566
"Aug 25, 2014"	2648	273761			69.4059088	28962.71931	1.390942699	86.82532348
"Aug 26, 2014"	2671	278091			69.44380218	28992.49578	1.395563771	87.05730129
"Aug 27, 2014"	2710	282503			69.48169557	29022.27226	1.400184843	87.28927911
"Aug 28, 2014"	2741	286699			69.51958895	29052.04873	1.404805915	87.52125693
"Aug 29, 2014"	2783	290997			69.55748234	29081.82521	1.409426987	87.75323475
"Aug 30, 2014"	2827	294956			69.59537572	29111.60169	1.414048059	87.98521257
"Aug 31, 2014"	2859	300521			69.63326911	29141.37816	1.418669131	88.21719039
